date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:23	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Mon,%2026%20Aug%202024%2014:02:33%20GMT	http://sites.google.com/students.lsa.ac.uk/oscar	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar.0.delayed	(from )
15:02:23	91825/91825	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:02:34%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar.html	(from )
15:02:24	77/77	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Aug%202024%2014:02:34%20GMT	https://sites.google.com/robots.txt		(from )
15:02:24	15014/15014	---M--	200	added ('OK')	text/javascript	etag:%222fa429eac967ec73%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/apis.google.com/js/clientc932.js	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:24	91862/91862	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:02:35%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/home	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/home.html	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:25	183037/183037	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:02:35%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/ideation	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/ideation.html	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:26	209822/209822	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:02:36%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/experimentation	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/experimentation.html	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:26	289523/289523	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:02:36%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/preproduction	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/preproduction.html	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:26	239159/239159	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2014:02:37%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/making	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/making.html	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:26	814/814	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://www.gstatic.com/images/icons/material/product/1x/docs_32dp.png	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/www.gstatic.com/images/icons/material/product/1x/docs_32dp.png	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:27	1258/1258	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.com/images/icons/product/drive-32.png	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/www.google.com/images/icons/product/drive-32.png	(from https://sites.google.com/students.lsa.ac.uk/oscar)
15:02:27	779/779	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Dec%202021%2012:48:00%20GMT	https://www.gstatic.com/images/icons/material/product/1x/slides_32dp.png	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/www.gstatic.com/images/icons/material/product/1x/slides_32dp.png	(from https://sites.google.com/students.lsa.ac.uk/oscar/ideation)
15:02:28	900/900	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Dec%202021%2012:48:00%20GMT	https://www.gstatic.com/images/icons/material/product/1x/sheets_32dp.png	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/www.gstatic.com/images/icons/material/product/1x/sheets_32dp.png	(from https://sites.google.com/students.lsa.ac.uk/oscar/ideation)
15:02:28	77716/77716	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:02:39%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/%22https:&	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/_https_&.c.delayed	(from https://sites.google.com/students.lsa.ac.uk/oscar/ideation)
15:02:29	88207/88207	---M--	200	added ('OK')	image/jpeg	etag:%221611514508%22	https://i.ytimg.com/vi/SpT0U-KDcXM/maxresdefault.jpg	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/i.ytimg.com/vi/SpT0U-KDcXM/maxresdefault.jpg	(from https://sites.google.com/students.lsa.ac.uk/oscar/experimentation)
15:02:30	78128/78128	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:02:40%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/%22https://twitter.com/hashtag/brexit?src=hash&amp;ref_src=twsrc%5Etfw%22>	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/_https_/twitter.com/hashtag/brexit.edc48.delayed	(from https://sites.google.com/students.lsa.ac.uk/oscar/making)
15:02:30	78297/78297	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:02:41%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/%22https://t.co/bUIrBTfM9e%22>pic.twitter.com/bUIrBTfM9e</a></p>&mdash;	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/_https_/t.co/bUIrBTfM9e__pic.twitter.com/bUIrBTfM9e_/a__/p_&mdash;.f.delayed	(from https://sites.google.com/students.lsa.ac.uk/oscar/making)
15:02:31	78240/78240	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:02:42%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/%22https://twitter.com/fred_ukip/status/1787989820481896727?ref_src=twsrc%5Etfw%22>May	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/_https_/twitter.com/fred_ukip/status/1787989820481896727.10bb85.delayed	(from https://sites.google.com/students.lsa.ac.uk/oscar/making)
15:02:31	77920/77920	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:02:42%20GMT	https://sites.google.com/students.lsa.ac.uk/oscar/%22https://platform.twitter.com/widgets.js%22	C:/Users/Oscar/Downloads/GOOGLESITE/LSA%20Y2/sites.google.com/students.lsa.ac.uk/oscar/_https_/platform.twitter.com/widgets.11.delayed	(from https://sites.google.com/students.lsa.ac.uk/oscar/making)
